Fish_species	Number_of_trematod_species
Cantheschenia grandisquamis	7
Carangoides chrysophrys	7
Carangoides fulvoguttatus	7
Chaetodon unimaculatus	7
Choerodon anchorago	7
Choerodon schoenleinii	7
Echeneis naucrates	7
Forcipiger flavissimus	7
Gnathanodon speciosus	7
Gymnocranius audleyi	7
Gymnocranius griseus	7
Gymnothorax kidako	7
Heniochus monoceros	7
Kyphosus sydneyanus	7
Lutjanus guttatus	7
Lutjanus johnii	7
Lutjanus russellii	7
Melichthys niger	7
Parupeneus porphyreus	7
Parupeneus spilurus	7
Polydactylus sextarius	7
Pomacentrus amboinensis	7
Rhabdosargus sarba	7
Saurida tumbil	7
Saurida undosquamis	7
Scomberomorus commerson	7
Selaroides leptolepis	7
Seriola quinqueradiata	7
Siganus canaliculatus	7
Sphyraena obtusata	7
Synodus dermatogenys	7
Thalassoma ballieui	7
Trachinotus coppingeri	7
Zanclus cornutus	7
Zebrasoma scopas	7
Zebrasoma velifer	7
Abudefduf sexfasciatus	6
Amphiprion akindynos	6
Amphiprion perideraion	6
Arothron manilensis	6
Arothron nigropunctatus	6
Balistes capistratus	6
Cephalopholis boenak	6
Cephalopholis urodeta	6
Chaetodon bennetti	6
Chaetodon mertensii	6
Choerodon graphicus	6
Conger marginatus	6
Crenimugil seheli	6
Diodon holocanthus	6
Epinephelus ongus	6
Etelis carbunculus	6
Fistularia commersonii	6
Gerres filamentosus	6
Gerres subfasciatus	6
Kyphosus elegans	6
Lutjanus adetii	6
Naso vlamingii	6
Parachaetodon ocellatus	6
Parupeneus trifasciatus	6
Pisodonophis cancrivorus	6
Pomacentrus chrysurus	6
Pomacentrus wardi	6
Rhinecanthus aculeatus	6
Scolopsis monogramma	6
Sufflamen chrysopterum	6
Symphorus nematophorus	6
Thalassoma jansenii	6
Tylosurus melanotus	6
Upeneus tragula	6
Acanthocybium solandri	5
Acanthurus lineatus	5
Alepes djedaba	5
Amblyglyphidodon curacao	5
Amphiprion clarkii	5
Anampses caeruleopunctatus	5
Aphareus rutilans	5
Aprion virescens	5
Balistapus undulatus	5
Balistoides viridescens	5
Carangoides ferdau	5
Caranx caballus	5
Caranx lugubris	5
Chaetodon pelewensis	5
Chaetodon trifascialis	5
Chaetodon trifasciatus	5
Chaetodontoplus meredithi	5
Coradion altivelis	5
Dactyloptena orientalis	5
Dascyllus aruanus	5
Drepane longimana	5
Epinephelus retouti	5
Gomphosus varius	5
Gymnocranius euanus	5
Halieutaea stellata	5
Lagocephalus lunaris	5
Lethrinus lentjan	5
Lethrinus obsoletus	5
Lutjanus monostigma	5
Macolor niger	5
Microcanthus strigatus	5
Monotaxis grandoculis	5
Nemipterus furcosus	5
Neoniphon sammara	5
Oplegnathus fasciatus	5
Otolithes ruber	5
Paracirrhites forsteri	5
Paralabrax maculatofasciatus	5
Paranthias furcifer	5
Plectorhinchus chrysotaenia	5
Plectorhinchus lineatus	5
Plectroglyphidodon apicalis	5
Plectroglyphidodon dickii	5
Pomacentrus philippinus	5
Priacanthus hamrur	5
Prionurus maculatus	5
Pseudocaranx dentex	5
Pterocaesio digramma	5
Pterocaesio tile	5
Pterois lunulata	5
Sargocentron rubrum	5
Scolopsis margaritifera	5
Siganus guttatus	5
Siganus rivulatus	5
Siganus virgatus	5
Sillago ciliata	5
Sparus aurata	5
Stegastes apicalis	5
Stephanolepis cirrhifer	5
Thalassoma hardwicke	5
Thalassoma purpureum	5
Trachinotus blochii	5
Triodon macropterus	5
Abudefduf abdominalis	4
Abudefduf sordidus	4
Acanthopagrus berda	4
Acanthurus mata	4
Acanthurus nigrofuscus	4
Aphareus furca	4
Argyrops spinifer	4
Arothron stellatus	4
Atherinomorus capricornensis	4
Atherinomorus lacunosus	4
Balistes polylepis	4
Carangoides equula	4
Carangoides orthogrammus	4
Caranx ignobilis	4
Centropyge potteri	4
Chaetodon baronessa	4
Chaetodon multicinctus	4
Chaetodon quadrimaculatus	4
Chaetodon rafflesii	4
Chelmon marginalis	4
Chilomycterus reticulatus	4
Coris batuensis	4
Cromileptes altivelis	4
Diodon liturosus	4
Ellochelon vaigiensis	4
Epinephelus morrhua	4
Epinephelus quernus	4
Epinephelus sexfasciatus	4
Epinephelus summana	4
Epinephelus undulatostriatus	4
Etelis coruscans	4
Gymnothorax pseudothyrsoideus	4
Gymnothorax rueppelliae	4
Heteropriacanthus cruentatus	4
Lethrinus genivittatus	4
Lethrinus mahsena	4
Lethrinus microdon	4
Lutjanus mahogoni	4
Lutjanus rivulatus	4
Lutjanus sebae	4
Naso tuberosus	4
Ophiodon elongatus	4
Oxycheilinus digramma	4
Paramonacanthus japonicus	4
Parupeneus bifasciatus	4
Parupeneus chrysonemus	4
Pelates quadrilineatus	4
Plagiotremus tapeinosoma	4
Platycephalus bassensis	4
Plectorhinchus albovittatus	4
Plectorhinchus cinctus	4
Pomacanthus semicirculatus	4
Pomacanthus sexstriatus	4
Priacanthus arenatus	4
Prionurus microlepidotus	4
Pristipomoides argyrogrammicus	4
Pseudorhombus arsius	4
Scarus ghobban	4
Scarus rivulatus	4
Scolopsis vosmeri	4
Synodus variegatus	4
Tautogolabrus adspersus	4
Trachinotus botla	4
Tylosurus gavialoides	4
Valamugil seheli	4
Zebrasoma veliferum	4
Acanthurus blochii	3
Acanthurus xanthopterus	3
Alectis ciliaris	3
Amanses scopas	3
Amblygaster clupeoides	3
Amphiprion polymnus	3
Bothus mancus	3
Bothus pantherinus	3
Bothus podas	3
Branchiostegus japonicus	3
Caesio caerulaurea	3
Cantherhines dumerilii	3
Caranx melampygus	3
Cephalopholis miniata	3
Cephalopholis miniatus	3
Chaetodon auripes	3
Chaetodon reticulatus	3
Cheilio inermis	3
Chelmon rostratus	3
Chlorurus sordidus	3
Choerodon azurio	3
Choerodon fasciatus	3
Conger oligoporus	3
Congriscus megastoma	3
Dascyllus albisella	3
Elagatis bipinnulata	3
Epinephelus awoara	3
Grammatorcynus bicarinatus	3
Gymnocranius grandoculis	3
Gymnothorax buroensis	3
Gymnothorax isingteena	3
Gymnothorax javanicus	3
Gymnothorax pictus	3
Gymnothorax woodwardi	3
Hemitaurichthys zoster	3
Hippocampus trimaculatus	3
Hyporhamphus quoyi	3
Kuhlia sandvicensis	3
Kyphosus sectatrix	3
Lethrinus erythropterus	3
Lethrinus laticaudis	3
Lethrinus rubrioperculatus	3
Liza vaigiensis	3
Megalops cyprinoides	3
Muraena helena	3
Mycteroperca interstitialis	3
Myripristis murdjan	3
Ostichthys japonicus	3
Ostracion meleagris	3
Pagrus auratus	3
Parexocoetus brachypterus	3
Plectroglyphidodon fasciolatus	3
Plotosus lineatus	3
Pomacanthus xanthometopon	3
Pomacentrus tripunctatus	3
Prionurus scalprum	3
Pristipomoides zonatus	3
Remora remora	3
Rhinecanthus rectangulus	3
Salarias fasciatus	3
Sardinella aurita	3
Sargocentron caudimaculatum	3
Sargocentron xantherythrum	3
Scomber australasicus	3
Scorpaenopsis cacopsis	3
Scorpis lineolata	3
Sebastes inermis	3
Sebastes paucispinis	3
Sebastiscus marmoratus	3
Selar boops	3
Seriola rivoliana	3
Siganus puellus	3
Sphoeroides spengleri	3
Sphyraena japonica	3
Sphyraena putnamae	3
Strongylura leiura	3
Sufflamen bursa	3
Terapon jarbua	3
Terapon theraps	3
Thamnaconus modestus	3
Tylosurus acus melanotus	3
Upeneus japonicus	3
Variola albimarginata	3
Xanthichthys ringens	3
Zebrasoma flavescens	3
Abudefduf saxatilis	2
Abudefduf septemfasciatus	2
Abudefduf vaigiensis	2
Acanthurus achilles	2
Acanthurus nigricans	2
Aetomylaeus nichofii	2
Ambassis gymnocephalus	2
Amblygaster sirm	2
Amblygobius phalaena	2
Anampses cuvier	2
Anomalops katoptron	2
Apogon doederleini	2
Apogon semilineatus	2
Apolemichthys trimaculatus	2
Argyrosomus hololepidotus	2
Arothron mappa	2
Arothron meleagris	2
Arothron reticularis	2
Aulostomus chinensis	2
Bodianus bilunulatus	2
Branchiostegus argentatus	2
Branchiostegus auratus	2
Caesio xanthonota	2
Callanthias japonicus	2
Cantherhines sandwichiensis	2
Carangoides bajad	2
Carangoides dinema	2
Carangoides hedlandensis	2
Caranx papuensis	2
Carcharhinus falciformis	2
Centropyge flavissima	2
Centropyge heraldi	2
Cephalopholis argus	2
Cephalopholis cyanostigma	2
Chaetodipterus faber	2
Chaetodon collare	2
Chaetodon punctatofasciatus	2
Chaetodontoplus septentrionalis	2
Cheilinus chlorourus	2
Cheilinus diagrammus	2
Cheilinus trilobatus	2
Cheilodipterus quinquelineatus	2
Chlorurus microrhinos	2
Choerodon cephalotes	2
Chromis viridis	2
Chrysiptera flavipinnis	2
Cirrhimuraena chinensis	2
Cirrhitus pinnulatus	2
Cociella crocodila	2
Coilia mystus	2
Coradion chrysozonus	2
Ctenochaetus strigosus	2
Dascyllus reticulatus	2
Diploprion bifasciatum	2
Epinephelus bruneus	2
Genicanthus lamarck	2
Gerres oyena	2
Giganthias immaculatus	2
Girella punctata	2
Girella tricuspidata	2
Grammatorcynus bilineatus	2
Gymnothorax richardsonii	2
Haemulon aurolineatum	2
Halichoeres chloropterus	2
Hemigymnus fasciatus	2
Hemigymnus melapterus	2
Heniochus singularius	2
Herklotsichthys quadrimaculatus	2
Hyporhamphus dussumieri	2
Hyporhamphus unifasciatus	2
Iniistius pavo	2
Kuhlia rupestris	2
Kyphosus cornelii	2
Kyphosus pacificus	2
Labracinus cyclophthalmus	2
Lagocephalus sceleratus	2
Lethrinus ornatus	2
Lethrinus reticulatus	2
Lethrinus variegatus	2
Lobotes surinamensis	2
Lutjanus malabaricus	2
Lutjanus semicinctus	2
Meuschenia freycineti	2
Monacanthus chinensis	2
Monotaxis heterodon	2
Myripristis berndti	2
Myxus elongatus	2
Naso fageni	2
Neoniphon aurolineatus	2
Neoscombrops pacificus	2
Neotrygon kuhlii	2
Netuma thalassina	2
Odonus niger	2
Ostorhinchus cookii	2
Ostorhinchus doederleini	2
Oxycheilinus diagrammus	2
Pantolabus radiatus	2
Paracirrhites arcatus	2
Parapercis cylindrica	2
Pardachirus pavoninus	2
Parupeneus crassilabris	2
Platybelone platyura	2
Plectorhinchus flavomaculatus	2
Plectorhinchus multivittatus	2
Plectropomus areolatus	2
Plicomugil labiosus	2
Polyprion oxygeneios	2
Pomacentrus bankanensis	2
Pomacentrus nagasakiensis	2
Pomacentrus nigromarginatus	2
Pomacentrus pavo	2
Pomadasys olivaceus	2
Pseudobalistes flavimarginatus	2
Pterocaesio chrysozona	2
Rhynchobatus djiddensis	2
Rudarius ercodes	2
Sargocentron diadema	2
Sargocentron microstoma	2
Sargocentron punctatissimum	2
Scarus frenatus	2
Scarus globiceps	2
Scarus niger	2
Scarus psittacus	2
Scolopsis lineata	2
Scomberoides commersonnianus	2
Scomberomorus munroi	2
Scorpaenopsis diabolus	2
Scorpaenopsis gibbosa	2
Sebastiscus albofasciatus	2
Siganus stellatus	2
Siganus sutor	2
Stegastes fasciolatus	2
Stethojulis strigiventer	2
Strongylura marina	2
Strongylura strongylura	2
Synanceia horrida	2
Synodus saurus	2
Taeniamia fucata	2
Takifugu pardalis	2
Thalassoma bifasciatum	2
Trachurus japonicus	2
Trachurus novaezelandiae	2
Tylosurus acus	2
Tylosurus crocodilus crocodilus	2
Uraspis helvola	2
Zenopsis nebulosa	2
Abalistes filamentosus	1
Acanthaluteres spilomelanurus	1
Acanthopagrus latus	1
Acanthurus bariene	1
Acanthurus grammoptilus	1
Acanthurus nigroris	1
Aesopia cornuta	1
Alepes vari	1
Allocyttus verrucosus	1
Amblyglyphidodon leucogaster	1
Amblyrhynchotes honckenii	1
Amphiprion frenatus	1
Anguilla marmorata	1
Antennarius commerson	1
Antennarius striatus	1
Apogon limenus	1
Apogon lineatus	1
Apogon quadrifasciatus	1
Apolemichthys arcuatus	1
Atrosalarias fuscus	1
Balistes undulatus	1
Balistoides conspicillum	1
Bathygobius fuscus	1
Bodianus loxozonus	1
Bodianus oxycephalus	1
Bodianus perditio	1
Brachysomophis crocodilinus	1
Branchiostegus wardi	1
Brotula multibarbata	1
Caesioperca lepidoptera	1
Callionymus limiceps	1
Calotomus carolinus	1
Cantherhines dumerili	1
Canthigaster rivulata	1
Canthigaster valentini	1
Carangoides coeruleopinnatus	1
Carangoides gymnostethus	1
Carangoides plagiotaenia	1
Carangoides talamparoides	1
Caranx heberi	1
Carcharhinus obscurus	1
Carcharhinus sorrah	1
Centroberyx lineatus	1
Centropogon australis	1
Centropyge bicolor	1
Centropyge tibicen	1
Centropyge vrolikii	1
Cephalopholis microprion	1
Cephalopholis sonnerati	1
Chaetodermis penicilligerus	1
Chaetodon meyeri	1
Chaetodon modestus	1
Chaetodon semeion	1
Cheilinus fasciatus	1
Cheilinus undulatus	1
Cheilodipterus macrodon	1
Chelon macrolepis	1
Chiloscyllium punctatum	1
Chlorurus spilurus	1
Chromis atripectoralis	1
Chromis nitida	1
Chromis weberi	1
Chrysiptera cyanea	1
Chrysiptera rollandi	1
Chrysophrys major	1
Cirrhitichthys falco	1
Cirripectes chelomatus	1
Cirripectes filamentosus	1
Cirripectes stigmaticus	1
Cociella crocodilus	1
Conger japonicus	1
Cookeolus japonicus	1
Coris aygula	1
Cynoglossus bilineatus	1
Dascyllus trimaculatus	1
Dendrochirus brachypterus	1
Dicotylichthys punctulatus	1
Dipterygonotus balteatus	1
Dischistodus melanotus	1
Dischistodus perspicillatus	1
Echidna delicatula	1
Eleotris fusca	1
Epibulus insidiator	1
Epinephelus coeruleopunctatus	1
Epinephelus lanceolatus	1
Epinephelus polyphekadion	1
Epinephelus undulosus	1
Feroxodon multistriatus	1
Forcipiger longirostris	1
Galeocerdo cuvier	1
Genicanthus melanospilos	1
Genicanthus semifasciatus	1
Genypterus blacodes	1
Gerres oblongus	1
Gerres ovatus	1
Girella mezina	1
Gymnothorax eurostus	1
Gymnothorax favagineus	1
Gymnothorax funebris	1
Gymnothorax hepaticus	1
Gymnothorax porphyreus	1
Gymnothorax steindachneri	1
Haemulon plumierii	1
Halichoeres hortulanus	1
Hemiramphus depauperatus	1
Hemitaurichthys polylepis	1
Hemitaurichthys thompsoni	1
Hipposcarus harid	1
Holacanthus ciliaris	1
Holocentrus rubrum	1
Istiblennius edentulus	1
Istiblennius meleagris	1
Jaydia carinatus	1
Konosirus punctatus	1
Labroides dimidiatus	1
Lactophrys triqueter	1
Lactoria diaphana	1
Latridopsis forsteri	1
Leiognathus equulus	1
Lotella phycis	1
Lutjanus jordani	1
Lutjanus lunulatus	1
Lutjanus lutjanus	1
Lutjanus sanguineus	1
Malacanthus brevirostris	1
Malacanthus latovittatus	1
Manta birostris	1
Meiacanthus grammistes	1
Meuschenia hippocrepis	1
Minous monodactylus	1
Moringua javanica	1
Myrichthys maculosus	1
Myripristis amaena	1
Myripristis violacea	1
Naso lopezi	1
Naucrates ductor	1
Nectamia fusca	1
Neoglyphidodon melas	1
Neopomacentrus azysron	1
Niphon spinosus	1
Ophichthus urolophus	1
Oplegnathus punctatus	1
Oreochromis mossambicus	1
Ostorhinchus angustatus	1
Ostorhinchus aroubiensis	1
Ostorhinchus fasciatus	1
Oxycheilinus unifasciatus	1
Paracaesio xanthura	1
Parapercis aurantiaca	1
Parapercis nebulosa	1
Parma oligolepis	1
Parupeneus barberinoides	1
Parupeneus chrysopleuron	1
Parupeneus forsskali	1
Parupeneus rubescens	1
Pempheris analis	1
Periophthalmus argentilineatus	1
Pervagor janthinosoma	1
Pervagor spilosoma	1
Plagiotremus laudandus	1
Plagiotremus rhinorhynchos	1
Platax batavianus	1
Platybelone argalus	1
Plectorhinchus sordidus	1
Plectroglyphidodon lacrymatus	1
Plectroglyphidodon leucozonus	1
Poecilia reticulata	1
Polydactylus plebeius	1
Polydactylus sexfilis	1
Pomacanthus annularis	1
Pomacentrus adelus	1
Pomacentrus melanochir	1
Pomacentrus taeniometopon	1
Pomacentrus vaiuli	1
Pomadasys kaakan	1
Priacanthus meeki	1
Pristiapogon taeniopterus	1
Pristipomoides auricilla	1
Psammoperca waigiensis	1
Pseudodax moluccanus	1
Pseudolabrus guentheri	1
Pseudolabrus japonicus	1
Pseudomonacanthus peroni	1
Pterois russelii	1
Pterois sphex	1
Pterois volitans	1
Pygoplites diacanthus	1
Rhina ancylostoma	1
Rhinecanthus verrucosus	1
Sardinella jussieu	1
Sargocentron spinosissimum	1
Sargocentron violaceum	1
Scarus dubius	1
Scarus festivus	1
Scarus lunula	1
Scarus oviceps	1
Scarus schlegeli	1
Scolopsis affinis	1
Scolopsis trilineata	1
Scomberoides tala	1
Scomberoides tol	1
Scomberomorus queenslandicus	1
Scomberomorus semifasciatus	1
Scorpaena brasiliensis	1
Scorpaena grandicornis	1
Scorpaena jacksoniensis	1
Scorpaena neglecta	1
Scorpaena plumieri	1
Scuticaria tigrina	1
Sebastapistes ballieui	1
Sebastes hubbsi	1
Semicossyphus reticulatus	1
Seriola hippos	1
Siganus javus	1
Siganus luridus	1
Siganus unimaculatus	1
Siganus vermiculatus	1
Sphoeroides pachygaster	1
Sphyraena flavicauda	1
Sphyrna lewini	1
Stegastes lacrymatus	1
Stethojulis balteata	1
Stethojulis bandanensis	1
Strongylura incisa	1
Sufflamen verres	1
Sunagocia otaitensis	1
Synodus intermedius	1
Synodus lucioceps	1
Takifugu alboplumbeus	1
Takifugu poecilonotus	1
Takifugu xanthopterus	1
Thalassoma hardwicki	1
Thalassoma lutescens	1
Thryssa setirostris	1
Torquigener flavimaculosus	1
Trachinotus baillonii	1
Triso dermopterus	1
Upeneus arge	1
Upeneus taeniopterus	1
Zebrasoma desjardinii	1
Zebrias zebra	1
