locality	ECOREGION	PROVINCE
Molucca Sea		Western Coral Triangle
Moorea		Southeast Polynesia
Moreton Bay	Coral Sea	Tropical Southwestern Pacific
New Caledonia	New Caledonia	Tropical Southwestern Pacific
New Caledonian Exclusive Economic Zone		Tropical Southwestern Pacific
Nha-Trang Bay		South China Sea
Niihau	Hawaii	Hawaii
Ningaloo	Ningaloo	Northwest Australian Shelf
Norfolk Island Exclusive Economic Zone	Lord Howe and Norfolk Islands	Lord Howe and Norfolk Islands
Norfolk Island part of the South Pacific Ocean	Lord Howe and Norfolk Islands	Lord Howe and Norfolk Islands
North Australia		Northwest Australian Shelf
North Australian Shelf		Sahul Shelf
Northeast Australian Shelf		Northeast Australian Shelf
Northwest Australian Shelf		Northwest Australian Shelf
Noumea	New Caledonia	Tropical Southwestern Pacific
Oahu Island	Hawaii	Hawaii
Okinawa	South Kuroshio	South Kuroshio
Okinawa Island	South Kuroshio	South Kuroshio
Oresund Strait		Eastern Coral Triangle
Palau		Tropical Northwestern Pacific
Palau Exclusive Economic Zone	Eastern Philippines	Western Coral Triangle
Palau part of the North Pacific Ocean		Tropical Northwestern Pacific
Palawan	Eastern Philippines	Western Coral Triangle
Palawan/North Borneo	Palawan/North Borneo	Western Coral Triangle
Papua	Papua	Western Coral Triangle
Papua New Guinean Exclusive Economic Zone		Western Coral Triangle
Paracel Islands part of the South China Sea		South China Sea
Peninsular Malaysia		Sunda Shelf
Philippine Sea	Eastern Philippines	Western Coral Triangle
Philippines	Eastern Philippines	Western Coral Triangle
Philippines Exclusive Economic Zone	Eastern Philippines	Western Coral Triangle
Queensland		Northeast Australian Shelf
Sabah		Western Coral Triangle
Sahul Shelf		Sahul Shelf
Samoa Islands	Samoa Islands	Central Polynesia
Sarawak		Sunda Shelf
Selangor		Sunda Shelf
Society Islands	Society Islands	Southeast Polynesia
Solomon Archipelago	Solomon Archipelago	Eastern Coral Triangle
Solomon Is.		Eastern Coral Triangle
Solomon Islands Exclusive Economic Zone		Eastern Coral Triangle
Solomon Sea		Eastern Coral Triangle
South China		South China Sea
South China Sea		South China Sea
South Kuroshio	South Kuroshio	South Kuroshio
Southern China	Southern China	South China Sea
Southern Cook/Austral Islands	Southern Cook/Austral Islands	Southeast Polynesia
Southern Java	Southern Java	Java Transitional
Southern Vietnam	Southern Vietnam	Sunda Shelf
Sulawesi Sea/Makassar Strait	Sulawesi Sea/Makassar Strait	Western Coral Triangle
Sulu Sea		South China Sea
Sunda Shelf/Java Sea	Sunda Shelf/Java Sea	Sunda Shelf
Sunda Strait		Sunda Shelf
Suruga Bay		Western Coral Triangle
Swain Reefs		Northeast Australian Shelf
Taiwan		South China Sea
Taiwan Strait		South China Sea
Taiwanese Exclusive Economic Zone		South China Sea
Thailand	Gulf of Thailand	Sunda Shelf
Thailand Exclusive Economic Zone		Sunda Shelf
Timor Sea		Sahul Shelf
Torres Strait	Torres Strait Northern Great Barrier Reef	Northeast Australian Shelf
Torres Strait Northern Great Barrier Reef	Torres Strait Northern Great Barrier Reef	Northeast Australian Shelf
Townsville		Northeast Australian Shelf
Tropical Pacific Ocean		Eastern Coral Triangle
Tuamotu	Tuamotus	Southeast Polynesia
Tuamotu Islands	Tuamotus	Southeast Polynesia
Tuamotus	Tuamotus	Southeast Polynesia
Tubuai Island	Southern Cook/Austral Islands	Southeast Polynesia
Vanuatu	Vanuatu	Tropical Southwestern Pacific
Vietnam	Southern Vietnam	Sunda Shelf
Vietnamese Exclusive Economic Zone	Southern Vietnam	Sunda Shelf
Vietnamese part of the South China Sea		South China Sea
Wallis and Futuna Exclusive Economic Zone		Tropical Southwestern Pacific
West Caroline Islands	West Caroline Islands	Tropical Northwestern Pacific
Western Australia		Northwest Australian Shelf
Western South Pacific		Northeast Australian Shelf
Wistari Reef	Coral Sea	Tropical Southwestern Pacific
Zhejiang		South China Sea
