Species	South_China_Sea	Sunda_Shelf	Java_Transitional	South_Kuroshio	Tropical_Northwestern_Pacific	Western_Coral_Triangle	Eastern_Coral_Triangle	Sahul_Shelf	Northeast_Australian_Shelf	Northwest_Australian_Shelf	Tropical_Southwestern_Pacific	Lord_Howe_and_Norfolk_Islands	Hawaii	Marshall_Gilbert_and_Ellis_Islands	Central_Polynesia	Southeast_Polynesia	Marquesas	Easter_Island
Leptojulis chrysotaenia	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Leptojulis cyanopleura	0	1	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0
Leptojulis lambdastigma	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Leptojulis polylepis	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
Leptoscarus vaigiensis	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1
Lethrinus amboinensis	0	1	0	1	1	1	1	1	0	1	1	0	0	1	1	1	1	0
Lethrinus atkinsoni	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0
Lethrinus conchyliatus	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Lethrinus erythracanthus	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0
Lethrinus erythropterus	0	1	1	0	1	1	1	1	0	1	1	0	0	0	0	0	0	0
Lethrinus genivittatus	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	0
Lethrinus haematopterus	1	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0
Lethrinus harak	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	0
Lethrinus laticaudis	0	1	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0
Lethrinus lentjan	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	0
Lethrinus mahsena	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Lethrinus microdon	0	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	0
Lethrinus miniatus	1	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0
Lethrinus nebulosus	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0
Lethrinus obsoletus	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	0
Lethrinus olivaceus	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	0
Lethrinus ornatus	1	1	0	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0
Lethrinus ravus	0	1	0	1	0	1	1	0	1	1	1	0	0	0	0	0	0	0
Lethrinus reticulatus	1	1	0	1	1	1	1	1	1	1	1	0	0	0	1	0	0	0
Lethrinus rubrioperculatus	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0
Lethrinus semicinctus	0	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	0	0
Lethrinus variegatus	1	1	0	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0
Lethrinus xanthochilus	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0
Limnichthys donaldsoni	0	0	0	0	1	1	0	0	1	0	1	0	1	1	1	1	0	0
Limnichthys fasciatus	0	1	0	1	1	1	1	0	1	1	1	1	0	0	1	1	0	0
Limnichthys nitidus	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0
Limnichthys orientalis	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liobranchia stria	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
Liocranium pleurostigma	0	1	1	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0
Liocranium praepositum	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0
Liopropoma africanum	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liopropoma aurora	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Liopropoma collettei	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0
Liopropoma dorsoluteum	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liopropoma flavidum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Liopropoma incomptum	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Liopropoma japonicum	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Liopropoma latifasciatum	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Liopropoma lemniscatum	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liopropoma lunulatum	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0
Liopropoma maculatum	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0
Liopropoma mitratum	0	1	1	1	1	1	1	0	1	1	1	0	0	0	1	1	1	0
Liopropoma multilineatum	0	0	0	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0
Liopropoma pallidum	0	0	0	0	1	1	1	0	0	0	0	0	0	1	1	1	0	0
Liopropoma susumi	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0
Liopropoma swalesi	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
Liopropoma tonstrinum	0	0	1	0	1	1	1	0	0	0	1	0	0	1	1	1	0	0
Lipocheilus carnolabrum	1	1	0	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0
Litobranchus fowleri	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
Liza affinis	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liza melinoptera	0	1	0	0	0	1	1	1	1	0	1	0	0	0	1	1	1	0
Liza vaigiensis	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	0
Lobotes surinamensis	1	1	0	1	1	1	1	0	1	1	1	0	1	0	0	0	0	0
Lobulogobius morrigu	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0
Lobulogobius omanensis	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
Lophiocharon lithinostomus	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Lophiocharon trisignatus	0	1	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0
Lotella phycis	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0
Lotella rhacina	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Lotella tosaensis	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lotilia graciliosa	0	1	0	1	1	1	1	0	1	1	1	0	0	1	1	1	0	0
Lubbockichthys multisquamatus	0	0	1	1	0	1	1	0	1	1	1	0	0	1	1	0	0	0
Lubbockichthys tanakai	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Lubricogobius dinah	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Luciogobius ama	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Luciogobius elongatus	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Luciogobius grandis	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Luciogobius koma	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Luciogobius parvulus	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Luciogobius platycephalus	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Luciogobius saikaiensis	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lumiconger arafura	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0
Luposicya lupus	0	1	0	1	0	1	1	1	1	0	1	0	0	0	0	0	0	0
Lutjanus adetii	0	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0	0
Lutjanus argentimaculatus	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0
Lutjanus bengalensis	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0
Lutjanus biguttatus	0	1	0	0	0	1	1	1	1	0	1	0	0	0	1	0	0	0
Lutjanus bitaeniatus	0	1	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0
Lutjanus bohar	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0
Lutjanus boutton	1	1	0	1	0	1	1	1	0	0	1	0	0	0	1	0	0	0
Lutjanus carponotatus	0	1	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0
Lutjanus decussatus	0	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
Lutjanus dodecacanthoides	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
Lutjanus ehrenbergii	0	1	0	1	1	1	1	1	1	0	1	0	0	1	1	0	0	0
Lutjanus erythropterus	1	1	1	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0
Lutjanus fulviflamma	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0
Lutjanus fulvus	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
Lutjanus gibbus	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0
Lutjanus johnii	1	1	0	1	0	1	1	1	1	1	1	1	0	1	0	0	0	0
Lutjanus kasmira	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
Lutjanus lemniscatus	0	1	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0
Lutjanus lunulatus	0	1	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0
Lutjanus lutjanus	1	1	0	1	0	1	1	1	1	1	1	0	0	0	1	0	0	0
Lutjanus madras	0	1	0	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0
Lutjanus malabaricus	1	1	0	0	1	1	1	1	1	1	1	0	0	1	0	1	0	0
Lutjanus mizenkoi	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0
Lutjanus monostigma	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0
Lutjanus ophuysenii	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Lutjanus quinquelineatus	1	1	0	1	0	1	1	1	1	1	1	1	0	1	0	1	0	0
Lutjanus rivulatus	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	0
Lutjanus rufolineatus	0	1	0	0	1	1	1	1	1	1	1	0	0	1	1	0	0	0
Lutjanus russellii	1	1	0	1	1	1	1	1	1	1	1	0	0	1	0	0	0	0
Lutjanus sebae	1	1	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0
Lutjanus semicinctus	0	1	0	0	1	1	1	1	1	0	1	0	0	1	0	1	0	0
Lutjanus stellatus	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Lutjanus timoriensis	0	1	0	1	0	1	1	1	0	1	1	0	0	0	1	0	0	0
Lutjanus vitta	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	0	0	0
Luzonichthys earlei	0	0	0	0	1	1	1	0	0	0	1	0	1	1	1	0	0	0
Luzonichthys taeniatus	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Luzonichthys waitei	0	1	1	1	1	1	1	1	1	0	1	0	0	0	1	0	0	0
Luzonichthys whitleyi	0	0	1	0	1	1	1	0	0	0	1	0	0	1	1	0	0	0
Luzonichthys williamsi	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Lythrypnus insularis	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Macolor macularis	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	0
Macolor niger	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0
Macrodontogobius wilburi	0	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0
Macropharyngodon choati	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0
Macropharyngodon geoffroy	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Macropharyngodon kuiteri	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0
Macropharyngodon meleagris	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0
Macropharyngodon negrosensis	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0
Macropharyngodon ornatus	0	1	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0
Mahidolia mystacina	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	0
Malacanthus brevirostris	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
Malacanthus latovittatus	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	0
Malvoliophis pinguis	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0
Manonichthys alleni	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Manonichthys paranox	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
Manonichthys polynemus	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Manonichthys splendens	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
Manonichthys winterbottomi	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Manta birostris	0	1	1	1	1	1	1	0	0	1	0	0	1	0	0	0	0	0
Maroubra yasudai	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Maxillicosta lopholepis	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Maxillicosta raoulensis	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
Maxillicosta scabriceps	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Medusablennius chani	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Megalaspis cordyla	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	0	0	0
Megalops cyprinoides	0	1	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	0
Meiacanthus abditus	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
Meiacanthus atrodorsalis	0	1	0	1	1	1	1	1	1	1	1	0	0	1	1	0	0	0
Meiacanthus bundoon	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Meiacanthus crinitus	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
Meiacanthus ditrema	0	1	0	1	0	1	1	1	1	1	1	0	0	0	1	0	0	0
Meiacanthus geminatus	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Meiacanthus grammistes	1	1	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0
Meiacanthus kamoharai	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Meiacanthus limbatus	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
Meiacanthus lineatus	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
Meiacanthus luteus	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0
Meiacanthus naevius	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Meiacanthus oualanensis	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Meiacanthus phaeus	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
Meiacanthus procne	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Meiacanthus reticulatus	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Meiacanthus smithi	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Meiacanthus tongaensis	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Meiacanthus urostigma	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Meiacanthus vicinus	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Meiacanthus vittatus	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Melichthys indicus	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Melichthys niger	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
Melichthys vidua	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0
Mene maculata	1	1	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0
Mesopristes argenteus	0	1	0	1	0	1	1	1	1	0	1	0	0	0	0	0	0	0
Metavelifer multiradiatus	0	0	0	1	0	0	1	0	0	1	0	1	1	0	0	0	0	0
Meuschenia freycineti	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Meuschenia galii	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Meuschenia hippocrepis	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
Meuschenia scaber	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
Meuschenia venusta	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Microbrotula bentleyi	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Microbrotula polyactis	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Microbrotula queenslandica	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Microbrotula randalli	0	0	0	0	1	1	1	0	0	0	1	0	0	0	1	0	0	0
Microbrotula rubra	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Microcanthus strigatus	1	1	0	1	1	0	1	0	1	1	1	1	1	0	0	0	0	0
Micrognathus andersonii	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0
Micrognathus brevicorpus	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Micrognathus brevirostris pygmaeus	0	0	1	1	1	1	1	1	1	0	1	0	0	1	1	1	0	0
Micrognathus crinitus	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Microcanthus joyceae	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Micrognathus micronotopterus	0	1	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0
Micrognathus natans	0	1	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0
Mimoblennius atrocinctus	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0
Minous coccineus	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0
Minous inermis	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Minous monodactylus	1	1	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0
Minous pictus	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
Minous pusillus	1	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0
Minous trachycephalus	0	1	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0
Minous versicolor	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0
Minyichthys brachyrhinus	0	1	0	1	0	1	1	0	0	0	1	0	1	0	0	0	0	0
Minyichthys myersi	0	1	0	0	1	1	1	1	0	0	0	0	0	0	0	1	0	0
Minysicya caudimaculata	0	0	0	1	0	1	1	1	1	0	0	0	0	0	0	1	0	0
Minysynchiropus kiyoae	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Monacanthus chinensis	1	1	0	1	0	1	1	1	1	1	1	0	0	0	1	0	0	0
Monocentris japonica	0	1	0	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0
Monodactylus argenteus	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	0	0	0
Monopenchelys acuta	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0
Monotaxis grandoculis	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
Monotaxis heterodon	0	1	0	1	1	1	1	0	1	0	1	0	0	1	0	0	0	0
Monothrix polylepis	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Moolgarda perusii	0	1	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0
Moringua abbreviata	0	0	0	0	1	1	0	0	0	1	1	0	0	0	1	0	0	0
Moringua cagayana	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Moringua ferruginea	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1
Moringua floresiana	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Moringua hawaiiensis	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0
Moringua javanica	0	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	0
Moringua latebrosa	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Moringua linearis	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Moringua microchir	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	0
Moringua penni	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Moringua robusta	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Moringua semperviridens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Mugilogobius arguellesi	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Mugilogobius fusca	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Mugilogobius parvus	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
Mulloidichthys flavolineatus	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Mulloidichthys mimicus	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0
Mulloidichthys pfluegeri	0	1	0	1	1	1	0	0	0	0	1	0	1	1	0	1	1	0
Mulloidichthys vanicolensis	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Muraenesox bagio	1	1	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0
Muraenesox cinereus	1	1	0	1	1	1	1	1	1	1	1	0	0	1	0	0	0	0
Muraenichthys elerae	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Muraenichthys gymnopterus	0	1	0	1	0	1	1	1	0	1	1	0	0	0	1	1	0	0
Muraenichthys iredalei	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Muraenichthys macrostomus	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0
Muraenichthys philippinensis	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Muraenichthys schultzei	0	1	0	1	1	1	1	1	0	0	1	0	1	1	1	0	0	0
Muraenichthys sibogae	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0
Muraenichthys thompsoni	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0
Myersina adonis	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Myersina crocata	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Myersina filifer	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Myersina lachneri	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
Myersina macrostoma	0	1	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0
Myersina nigrivirgata	0	1	0	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0
Myersina papuanus	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Myersina yangii	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0
Myliobatis australis	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0
Myliobatis tenuicaudatus	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Myliobatis tobijei	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Myrichthys colubrinus	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
Myrichthys maculosus	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0
Myrichthys magnificus	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Myripristis adusta	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	0
Myripristis amaena	0	0	0	1	1	1	1	0	0	0	1	0	1	1	1	1	1	0
Myripristis astakhovi	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Myripristis aulacodes	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Myripristis berndti	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
Myripristis botche	0	1	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0
Myripristis chryseres	0	1	1	1	1	1	1	0	1	0	1	0	1	1	1	1	1	0
Myripristis earlei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
Myripristis formosa	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Myripristis greenfieldi	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Myripristis hexagona	0	1	0	0	1	1	1	1	1	1	1	0	0	0	1	0	0	0
Myripristis kochiensis	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Myripristis kuntee	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
Myripristis murdjan	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
Myripristis pralinia	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0
Myripristis randalli	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0
Myripristis robusta	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
Myripristis tiki	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1
Myripristis trachyacron	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
Myripristis violacea	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0
Myripristis vittata	0	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0
Myripristis woodsi	0	0	0	0	1	1	1	0	0	0	1	0	0	1	1	1	1	0
Myrophis cheni	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Myrophis microchir	0	0	0	1	0	1	0	0	1	1	1	0	0	0	1	1	0	0
Myxus elongatus	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0
Nannocampus pictus	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
Nannocampus subosseus	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Nannocampus weberi	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Nannosalarias nativitatis	0	1	1	1	1	1	1	0	1	1	1	0	0	1	1	1	0	0
Narcine tasmaniensis	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Narcine timlei	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Narke japonica	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Naso annulatus	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
Naso brachycentron	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0
Naso brevirostris	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Naso caeruleacauda	0	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0
Naso caesius	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0
Naso elegans	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
Naso fageni	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0
Naso hexacanthus	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
Naso lituratus	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
